CustomerID,Gender,Age,Tenure,MonthlyCharges,TotalCharges,Contract,Churn
137,Female,50,21,65.38,3462.53,One year,Yes
138,Male,56,36,113.38,6968.66,Month-to-month,No
139,Female,28,16,64.6,950.06,Two year,No
140,Female,54,60,112.43,6432.29,One year,No
141,Male,33,32,26.01,1171.42,Two year,Yes
142,Male,27,20,26.46,2026.33,Month-to-month,Yes
143,Female,43,52,113.23,6828.43,One year,Yes
144,Female,62,50,115.6,2238.38,One year,Yes
145,Male,28,16,71.35,100.42,Two year,No
146,Male,48,37,39.32,1115.77,Month-to-month,Yes
147,Male,57,5,51.57,2738.23,One year,Yes
148,Female,45,24,85.92,2984.29,Two year,No
149,Female,66,55,104.06,1964.44,One year,No
150,Male,66,61,117.38,5242.15,Two year,Yes
151,Male,20,44,84.53,2185.76,Two year,No
152,Male,40,45,107.51,4381.94,Two year,Yes
153,Female,54,61,116.78,4661.56,Month-to-month,Yes
154,Male,67,57,109.08,5717.89,Month-to-month,Yes
155,Female,66,60,38.74,5476.55,Month-to-month,No
156,Male,48,72,36.33,3007.19,One year,Yes
157,Female,19,55,89.61,7693.34,Month-to-month,No
158,Female,27,15,109.86,6030.5,Two year,No
159,Male,33,34,32.37,5177.73,Month-to-month,No
160,Female,52,67,88.08,2046.7,One year,Yes
161,Male,40,37,115.13,2333.93,Month-to-month,No
162,Male,57,5,81.88,2199.72,Two year,Yes
163,Female,21,18,83.02,3882.88,Month-to-month,No
164,Male,67,48,74.85,7952.08,Month-to-month,Yes
165,Male,20,30,59.81,7727.05,Two year,Yes
166,Male,28,47,119.79,5383.36,Two year,No
167,Male,20,56,53.21,2769.48,One year,No
168,Male,33,57,91.85,3026.94,Two year,No
169,Female,69,37,45.4,5818.14,One year,Yes
170,Female,60,26,30.11,3025.72,Month-to-month,No
171,Female,28,71,86.76,4029.58,Month-to-month,Yes
172,Female,39,34,48.86,4018.74,Two year,Yes
173,Female,29,48,36.41,4856.1,Month-to-month,Yes
174,Male,64,15,62.75,3840.15,Two year,Yes
175,Male,53,15,72.23,1070.27,One year,No
176,Female,25,25,111.07,5429.17,One year,Yes
177,Female,46,71,33.77,6099.05,Month-to-month,No
178,Female,30,64,48.34,5117.15,Month-to-month,No
179,Female,18,69,88.2,5907.8,One year,No
180,Female,48,72,27.79,2715.34,Month-to-month,No
181,Female,55,28,92.18,7261.81,Two year,Yes
182,Male,45,41,62.87,2274.25,Two year,Yes
183,Male,36,25,109.55,5303.47,Month-to-month,No
184,Female,49,30,48.04,126.63,One year,Yes
185,Female,32,36,73.58,1958.89,One year,No
186,Male,49,44,63.78,3286.62,One year,Yes
187,Female,66,15,53.2,5684.87,Month-to-month,No
188,Female,53,8,86.12,6331.77,Two year,No
189,Female,66,50,119.85,5172.18,Month-to-month,Yes
190,Female,51,15,85.53,3289.93,Two year,Yes
191,Female,37,67,104.19,6348.82,One year,No
192,Male,54,9,27.85,7823.68,Month-to-month,Yes
193,Female,43,27,90.74,7324.11,One year,Yes
194,Male,34,22,39.33,893.29,Two year,Yes
195,Male,70,65,24.02,5366.65,Month-to-month,No
196,Female,59,34,69.26,7551.66,Two year,No
197,Female,34,47,59.02,6742.52,One year,No
198,Female,31,66,78.8,5464.02,Month-to-month,No
199,Male,21,51,85.94,7111.42,Two year,No
200,Male,56,63,36.96,494.14,One year,Yes
201,Male,29,57,84.54,4276.72,Month-to-month,No
202,Female,30,17,110.45,2320.69,One year,Yes
203,Male,70,30,71.52,6936.11,One year,Yes
204,Male,32,31,55.64,168.05,Month-to-month,No
205,Female,36,33,32.68,7058.29,Two year,No
206,Female,25,69,70.89,3116.87,Two year,Yes
207,Female,32,11,30.77,888.4,One year,Yes
208,Male,18,13,75.97,1135.87,One year,No
209,Female,57,10,25.17,2730.08,Two year,No
210,Male,44,69,110.05,3099.26,Two year,Yes
211,Male,41,63,48.99,3631.87,Two year,No
212,Male,31,41,68.67,1743.22,Month-to-month,No
213,Female,48,39,49.09,700.46,One year,No
214,Female,26,62,94.7,7372.88,Two year,No
215,Female,63,11,114.88,4954.99,Two year,No
216,Female,24,72,93.48,5830.47,Two year,Yes
217,Female,26,38,37.04,5120.03,Two year,Yes
218,Male,49,71,43.97,2670.2,One year,No
219,Female,66,19,24.48,5941.88,Two year,Yes
220,Female,53,54,112.63,1490.73,Two year,Yes
221,Female,40,15,110.26,2410.6,One year,Yes
222,Male,23,4,58.27,5813.14,Two year,Yes
223,Male,54,67,69.86,122.84,Month-to-month,Yes
224,Female,26,58,31.61,7054.33,Two year,Yes
225,Male,64,7,91.27,5856.27,Month-to-month,No
226,Female,20,11,104.4,956.86,Two year,Yes
227,Female,31,14,89.07,6830.23,Month-to-month,No
228,Male,51,21,41.42,1380.31,One year,No
229,Female,43,22,84.19,3140.75,Month-to-month,No
230,Male,27,25,47.67,7085.19,One year,Yes
231,Male,27,35,82.47,7771.43,Month-to-month,No
232,Female,51,50,51.09,1126.13,One year,No
233,Female,28,18,34.31,4551.66,Two year,Yes
234,Male,50,24,87.23,3564.11,One year,No
235,Female,20,25,51.84,6140.78,Month-to-month,No
236,Male,53,72,71.01,6057.23,One year,No
237,Female,66,52,92.73,7280.32,One year,Yes
238,Female,41,12,70.69,7892.81,One year,Yes
239,Female,66,44,31.97,3710.26,Two year,Yes
240,Female,25,46,30.07,1453.1,Month-to-month,No
241,Male,46,47,119.75,5504.59,Month-to-month,No
242,Female,55,14,115.74,2226.63,Month-to-month,No
243,Male,46,24,81.34,7789.62,Month-to-month,No
244,Male,40,67,76.13,904.54,Two year,No
245,Female,24,32,41.12,1590.83,Month-to-month,No
246,Female,46,70,43.9,2339.62,Month-to-month,No
247,Male,48,29,106.57,5833.89,One year,No
248,Male,36,56,96.64,7568.75,One year,Yes
249,Female,47,65,82.35,2741.01,Month-to-month,Yes
250,Male,60,53,102.38,5103.22,Month-to-month,No
251,Male,55,25,76.75,4879.19,Month-to-month,No
252,Female,61,57,47.38,3122.9,Two year,Yes
253,Male,22,23,41.62,6928.11,Two year,No
254,Male,19,38,31.84,6858.49,One year,Yes
255,Female,24,16,116.12,1985.79,Two year,No
256,Male,49,12,104.85,4642.98,Month-to-month,No
257,Female,26,6,45.72,1835.01,Month-to-month,Yes
258,Male,31,21,108.73,2452.41,Two year,No
259,Female,59,20,83.18,2060.01,Two year,Yes
260,Male,33,12,94.69,6429.68,One year,Yes
261,Male,54,16,25.94,202.17,One year,Yes
262,Male,45,51,73.45,4958.48,One year,Yes
263,Male,70,5,59.1,7033.76,Month-to-month,No
264,Female,51,70,31.22,2363.92,Month-to-month,No
265,Female,19,47,25.46,3565.36,One year,No
266,Female,32,44,108.08,1500.06,One year,Yes
267,Male,61,62,73.44,5806.48,One year,Yes
268,Male,55,66,115.48,7152.21,One year,Yes
269,Female,24,42,82.63,1233.45,Month-to-month,Yes
270,Female,62,24,66.27,7357.43,One year,No
271,Male,64,2,65.79,7719.71,Month-to-month,Yes
272,Male,39,60,65.39,6931.65,One year,No
273,Male,31,39,35.11,264.17,Month-to-month,Yes
274,Female,50,25,104.83,1563.52,Month-to-month,Yes
275,Female,27,51,41.62,5453.91,Two year,No
276,Male,50,70,32.74,2866.18,One year,Yes
277,Male,50,2,65.78,4377.55,One year,No
278,Female,36,43,70.28,2061.55,Two year,Yes
279,Male,55,33,29.19,4413.88,One year,No
280,Male,70,46,87.63,7646.55,Two year,No
281,Female,47,28,63.83,1791.39,Month-to-month,Yes
282,Male,29,42,70.92,5854.09,Month-to-month,No
283,Female,46,2,86.43,4073.72,Month-to-month,Yes
284,Female,35,9,118.86,5019.51,Month-to-month,Yes
285,Male,24,62,29.25,7796.44,One year,Yes
286,Male,44,17,79.1,1098.92,Month-to-month,No
287,Female,57,67,105.15,4015.54,Month-to-month,No
288,Male,49,15,93.03,3044.61,Two year,No
289,Male,55,39,45.14,720.58,Month-to-month,No
290,Male,22,25,78.55,7155.64,Two year,No
291,Female,23,32,51.28,1484.36,One year,No
292,Male,53,15,70.5,571.1,One year,Yes
293,Female,66,71,78.42,2887.12,One year,No
294,Female,18,47,31.9,5236.02,One year,Yes
295,Male,52,50,73.76,2737.47,One year,Yes
296,Male,63,1,28.21,552.11,One year,No
297,Female,34,31,72.88,6359.37,Month-to-month,No
298,Male,43,70,102.16,4534.08,Month-to-month,Yes
299,Male,50,17,28.62,2312.1,One year,Yes
300,Male,56,66,95.0,6768.73,Month-to-month,No
301,Male,21,71,118.96,2785.43,One year,No
302,Female,30,8,108.53,5149.61,Two year,Yes
303,Female,55,5,97.7,6556.61,One year,No
304,Male,45,44,116.21,3080.85,Month-to-month,Yes
305,Female,36,17,78.16,6598.51,One year,Yes
306,Female,38,38,99.49,6390.34,Month-to-month,Yes
307,Female,39,34,62.32,947.32,Two year,Yes
308,Female,45,4,77.22,7214.62,One year,No
309,Female,21,38,89.56,2832.93,Month-to-month,No
310,Female,52,62,37.61,2407.23,One year,Yes
311,Female,28,39,104.66,635.55,Two year,No
312,Female,22,10,65.65,7969.66,One year,No
313,Female,65,37,49.48,3865.63,Two year,Yes
314,Female,54,68,117.87,1951.22,Two year,Yes
315,Female,25,40,58.1,7557.43,Two year,No
316,Male,45,57,114.08,6546.41,Month-to-month,No
317,Male,43,55,87.82,4921.6,One year,No
318,Female,41,24,36.87,5788.35,One year,No
319,Male,52,11,74.98,829.46,Month-to-month,No
320,Male,42,69,91.28,3094.3,One year,No
321,Male,50,12,92.89,7853.76,One year,Yes
322,Male,37,51,73.07,7247.78,Two year,No
323,Female,59,58,56.75,4021.97,One year,Yes
324,Female,51,33,96.92,3478.72,One year,No
325,Female,60,33,50.09,5308.27,One year,No
326,Female,58,31,118.21,5945.61,Month-to-month,Yes
327,Female,64,8,36.54,6534.68,Month-to-month,Yes
328,Male,67,42,78.4,1912.78,Month-to-month,No
329,Male,26,67,117.46,1933.73,Month-to-month,Yes
330,Female,50,72,26.43,3390.81,Month-to-month,Yes
331,Male,63,19,38.35,5710.59,One year,Yes
332,Female,28,6,83.1,5548.92,One year,Yes
333,Female,25,6,27.4,6041.95,Two year,Yes
334,Female,58,26,63.99,725.46,Two year,Yes
335,Female,33,4,31.63,2692.26,Two year,Yes
336,Male,32,23,85.1,7261.35,Two year,Yes
337,Female,42,37,27.11,6284.84,Two year,Yes
338,Female,26,67,88.01,6509.6,Month-to-month,No
339,Male,35,4,25.94,4169.16,One year,Yes
340,Female,57,10,38.55,5650.47,Month-to-month,Yes
341,Male,43,34,81.03,321.04,One year,No
342,Female,46,37,60.57,4254.02,One year,No
343,Male,64,39,111.45,6649.55,Two year,Yes
344,Female,21,59,63.38,6501.14,One year,Yes
345,Female,55,43,83.08,5812.18,One year,No
346,Female,26,69,28.57,3549.55,Month-to-month,No
347,Male,53,18,80.37,4478.04,Month-to-month,No
348,Female,41,30,82.05,5459.98,One year,No
349,Female,67,45,25.36,1119.59,One year,Yes
350,Male,29,35,54.01,1365.59,Month-to-month,Yes
351,Female,61,68,66.11,4811.36,One year,No
352,Female,46,4,24.65,6558.48,One year,Yes
353,Male,20,42,113.31,5074.52,One year,No
354,Male,24,29,44.14,854.97,One year,No
355,Female,42,41,68.01,3841.54,Two year,Yes
356,Male,31,18,47.63,1609.31,One year,Yes
357,Male,38,66,35.92,4024.78,Two year,No
358,Male,64,28,117.95,1804.44,Month-to-month,Yes
359,Male,67,46,119.7,6902.88,Two year,No
360,Male,63,47,34.85,4135.41,Month-to-month,No
361,Male,40,28,72.4,6164.24,One year,Yes
362,Male,62,36,111.13,5602.75,Month-to-month,Yes
363,Male,21,46,115.72,4675.84,One year,Yes
364,Male,18,53,105.89,6606.14,Two year,Yes
365,Female,31,7,55.44,3438.82,One year,No
366,Male,31,32,74.62,7824.97,One year,Yes
367,Male,19,47,90.22,433.65,One year,Yes
368,Female,22,4,84.22,5937.6,Month-to-month,No
369,Male,64,66,53.92,107.11,Two year,No
370,Male,54,46,61.39,4128.11,Two year,Yes
371,Male,44,41,25.08,6457.71,Two year,No
372,Female,45,42,37.15,6926.67,Month-to-month,Yes
373,Male,46,52,56.48,2458.31,One year,Yes
374,Female,28,37,107.07,960.06,Two year,No
375,Male,60,20,67.12,6745.76,Two year,Yes
376,Male,28,41,100.96,5716.2,Month-to-month,No
377,Female,20,30,24.63,1608.97,One year,No
378,Female,33,38,90.77,7587.58,Month-to-month,No
379,Female,29,47,109.96,3121.71,Month-to-month,No
380,Male,61,55,25.28,5251.91,Month-to-month,Yes
381,Male,60,56,21.1,2159.68,One year,No
382,Male,64,69,36.65,2958.49,One year,Yes
383,Male,52,37,25.21,5161.47,One year,Yes
384,Male,62,70,119.27,5508.8,Two year,No
385,Female,57,36,95.01,5744.56,Month-to-month,Yes
386,Female,24,2,82.35,2200.68,One year,No
387,Male,36,3,112.74,4237.43,Two year,No
388,Male,38,34,65.33,7179.95,Two year,No
389,Female,21,42,102.49,5070.29,One year,No
390,Male,48,13,29.38,3251.34,Month-to-month,No
391,Male,39,36,58.52,4338.55,Month-to-month,Yes
392,Female,27,19,95.07,1887.44,One year,No
393,Male,31,38,99.13,3839.8,One year,Yes
394,Male,56,40,39.06,1385.74,One year,Yes
395,Female,65,31,37.79,3161.19,Month-to-month,Yes
396,Female,40,24,67.72,1613.09,Month-to-month,Yes
397,Female,68,57,23.09,877.59,Month-to-month,No
398,Female,50,63,48.31,504.98,Month-to-month,No
399,Female,46,67,66.75,7931.25,One year,No
400,Male,24,66,88.93,6045.94,Month-to-month,No
401,Male,38,20,59.01,7610.54,One year,No
402,Male,46,65,103.0,3557.78,One year,No
403,Female,51,9,21.07,1553.69,One year,Yes
404,Female,54,11,30.39,3093.26,Month-to-month,Yes
405,Female,38,47,100.05,6473.27,Month-to-month,No
406,Male,52,44,43.98,3599.34,One year,No
407,Male,55,33,91.17,4547.28,Month-to-month,No
408,Female,36,68,58.88,4740.02,One year,No
409,Male,47,62,82.01,1345.92,Two year,No
410,Female,30,22,24.57,2480.05,Month-to-month,Yes
411,Male,18,41,41.33,6668.64,Two year,No
412,Female,22,36,92.93,5544.78,Two year,No
413,Female,35,9,56.54,5322.48,One year,Yes
414,Male,48,29,91.94,2129.37,Two year,No
415,Male,48,60,60.82,3862.58,Month-to-month,Yes
416,Female,43,62,92.55,146.22,Month-to-month,No
417,Female,33,54,56.46,4581.47,One year,No
418,Male,29,11,110.9,4875.95,One year,Yes
419,Female,60,49,116.39,1436.48,Month-to-month,Yes
420,Male,63,55,41.86,6329.29,Two year,No
421,Male,33,46,72.22,7188.47,Two year,Yes
422,Male,57,47,30.22,5037.38,Month-to-month,No
423,Male,68,70,43.75,4499.95,One year,Yes
424,Female,55,72,79.72,504.68,Two year,Yes
425,Female,31,53,23.42,7273.34,Month-to-month,No
426,Female,61,2,104.04,1572.8,Month-to-month,No
427,Male,23,72,115.83,751.94,Month-to-month,No
428,Female,29,46,117.95,4635.51,Month-to-month,Yes
429,Male,53,48,44.06,4702.15,One year,Yes
430,Male,47,47,51.65,612.78,One year,Yes
431,Female,26,26,33.94,6961.93,One year,No
432,Female,51,30,42.21,672.7,Month-to-month,Yes
433,Female,58,6,21.99,655.93,One year,No
434,Male,60,69,56.36,3240.7,Month-to-month,No
435,Male,59,47,25.96,3266.3,Two year,Yes
436,Male,33,4,50.24,6713.19,Month-to-month,Yes
437,Female,19,27,51.15,7621.61,Two year,No
438,Female,68,5,66.2,5041.08,Month-to-month,No
439,Female,65,48,111.43,212.91,Month-to-month,Yes
440,Female,24,66,115.15,7290.66,One year,Yes
441,Female,68,23,103.49,7977.42,One year,No
442,Male,59,53,67.0,4390.64,One year,No
443,Male,34,31,68.78,5730.83,One year,No
444,Female,66,52,56.03,6382.87,One year,Yes
445,Male,30,59,78.2,5224.94,One year,No
446,Male,46,4,37.77,792.18,Month-to-month,No
447,Female,44,12,36.57,5277.31,Month-to-month,Yes
448,Female,43,15,70.43,1509.37,Two year,Yes
449,Female,62,62,106.32,5742.89,One year,No
450,Female,34,23,84.42,5376.93,Month-to-month,Yes
451,Male,58,57,34.24,4220.58,Two year,No
452,Female,43,20,83.01,2103.61,One year,Yes
453,Male,18,33,57.99,4264.12,Two year,Yes
454,Female,33,21,74.3,6259.39,One year,No
455,Female,60,15,24.61,5116.41,Month-to-month,No
456,Female,23,37,26.53,6491.13,One year,Yes
457,Female,26,32,54.96,4414.78,One year,Yes
458,Female,64,14,67.01,4736.9,Two year,No
459,Male,23,5,32.62,7653.32,Two year,No
460,Male,32,43,81.04,1033.93,One year,No
461,Female,51,71,59.72,6220.82,One year,No
462,Male,53,52,106.83,4420.69,Month-to-month,No
463,Male,57,1,32.56,5884.04,Month-to-month,No
464,Female,27,12,90.28,2563.43,One year,Yes
465,Female,35,62,32.35,3022.99,One year,No
466,Male,61,34,108.87,7446.09,One year,No
467,Female,22,44,101.97,7119.97,Month-to-month,Yes
468,Female,46,70,21.1,5351.88,Two year,No
469,Male,20,5,76.98,4337.26,One year,Yes
470,Female,58,46,27.41,5695.33,Two year,No
471,Male,39,44,26.55,4841.63,Two year,Yes
472,Female,24,22,56.26,3479.43,Two year,No
473,Male,35,56,32.32,2397.02,Month-to-month,Yes
474,Male,63,4,53.38,7812.67,Month-to-month,No
475,Female,25,10,66.95,1640.46,Two year,No
476,Male,58,2,119.15,1552.38,Two year,No
477,Male,39,54,118.54,3135.32,One year,No
478,Female,19,36,103.81,2347.77,Month-to-month,Yes
479,Female,45,72,69.85,747.04,Two year,No
480,Male,31,27,66.64,7526.0,One year,No
481,Female,18,22,41.85,7522.25,One year,Yes
482,Female,25,13,119.95,6176.59,Two year,Yes
483,Male,65,61,43.2,7513.47,Two year,No
484,Male,27,63,71.6,6629.72,Month-to-month,Yes
485,Male,19,60,21.87,3184.46,One year,No
486,Female,40,43,79.25,771.5,Month-to-month,Yes
487,Male,43,26,98.29,7164.66,Two year,Yes
488,Female,63,72,117.89,7330.53,One year,No
489,Male,31,56,49.24,6103.07,Two year,Yes
490,Male,54,11,93.62,288.14,Two year,Yes
491,Male,61,44,83.71,3485.38,One year,Yes
492,Male,37,54,47.99,3040.01,One year,No
493,Male,56,48,59.07,558.54,Month-to-month,No
494,Male,28,51,48.03,4007.57,One year,Yes
495,Female,54,2,54.4,1675.44,Month-to-month,No
496,Male,60,25,30.74,2607.02,Month-to-month,Yes
497,Male,68,71,37.25,3012.69,Two year,Yes
498,Female,57,22,98.96,570.35,Two year,No
499,Female,57,24,115.36,5600.11,Two year,Yes
500,Male,63,12,39.96,5036.88,Month-to-month,Yes
501,Female,42,8,30.85,1057.28,Two year,No
502,Male,20,36,101.72,2189.41,Month-to-month,Yes
503,Male,29,6,95.31,2386.4,Two year,Yes
504,Male,35,37,32.66,6517.5,One year,Yes
505,Male,63,13,88.53,3839.55,Two year,No
506,Female,40,15,59.49,1687.64,Month-to-month,Yes
507,Female,29,72,88.27,1966.65,Two year,No
508,Female,50,36,108.58,4378.07,One year,No
509,Male,43,9,53.1,254.26,Month-to-month,Yes
510,Male,60,19,74.39,5459.39,Month-to-month,Yes
511,Female,29,13,52.09,2260.91,One year,Yes
512,Female,45,66,33.06,733.71,One year,Yes
513,Female,64,24,43.84,4788.71,Month-to-month,No
514,Female,62,44,65.5,4468.22,Month-to-month,No
515,Female,31,55,45.19,3904.64,One year,Yes
516,Male,31,64,43.82,7296.77,One year,No
517,Female,45,13,96.85,7590.36,Two year,No
518,Male,26,9,32.1,4499.6,Two year,No
519,Male,56,65,101.82,1277.47,Month-to-month,No
520,Male,38,64,21.9,4348.13,Month-to-month,Yes
521,Female,41,49,30.68,5125.24,Two year,No
522,Male,33,65,38.38,7704.72,Month-to-month,No
523,Male,63,39,76.65,1850.24,Month-to-month,No
524,Female,28,36,27.28,5440.05,Two year,Yes
525,Male,25,63,115.71,6002.99,Month-to-month,No
526,Male,44,26,108.32,838.69,One year,No
527,Female,65,10,102.24,7463.26,Two year,No
528,Male,58,11,109.29,6011.65,One year,No
529,Female,45,52,105.26,5507.74,Month-to-month,Yes
530,Female,23,24,84.92,6435.33,One year,Yes
531,Male,55,44,29.71,5876.44,Month-to-month,Yes
532,Female,39,6,48.6,6880.86,One year,No
533,Female,20,51,82.6,2090.46,One year,Yes
534,Female,58,41,65.04,7618.13,Month-to-month,No
535,Female,44,64,22.16,2050.65,One year,No
536,Male,35,52,81.5,2661.88,Two year,No
537,Male,42,18,48.02,1276.05,Month-to-month,No
538,Female,24,44,75.45,5335.16,Two year,Yes
539,Male,20,72,49.42,4985.52,One year,Yes
540,Female,38,39,110.87,117.92,Month-to-month,No
541,Female,40,26,57.75,1499.46,Month-to-month,No
542,Female,56,59,28.55,7236.79,Month-to-month,No
543,Female,63,25,32.09,2170.6,One year,No
544,Male,59,71,113.82,1419.51,Month-to-month,No
